sample,input_sine,moving_average_approx,correlation_expected,peak_event
0,2048,2048,2904,0
4,2080,2064,2808,0
8,2112,2084,2808,0
12,2144,2116,2808,0
16,2176,2148,2808,0
20,2208,2180,2808,0
24,2240,2212,2808,0
28,2272,2244,2808,0
32,2304,2276,2808,0
36,2336,2308,2808,0
40,2368,2340,2808,0
44,2400,2372,2811,0
48,2431,2404,2811,0
52,2463,2435,2811,0
56,2494,2467,2814,0
60,2525,2498,2811,0
64,2557,2529,2811,0
68,2588,2560,2814,0
72,2619,2592,2814,0
76,2650,2623,2817,0
80,2680,2653,2817,0
84,2711,2684,2817,0
88,2741,2714,2820,0
92,2771,2745,2820,0
96,2801,2775,2820,0
100,2831,2805,2820,0
104,2861,2835,2823,0
108,2890,2864,2826,0
112,2919,2894,2826,0
116,2948,2923,2826,0
120,2977,2952,2826,0
124,3006,2980,2829,0
128,3034,3009,2832,0
132,3062,3038,2832,0
136,3090,3066,2835,0
140,3117,3093,2835,0
144,3145,3121,2835,0
148,3172,3148,2841,0
152,3198,3175,2841,0
156,3225,3202,2841,0
160,3251,3228,2844,0
164,3277,3254,2847,0
168,3302,3280,2847,0
172,3328,3306,2847,0
176,3353,3331,2853,0
180,3377,3356,2853,0
184,3402,3380,2856,0
188,3425,3404,2859,0
192,3449,3428,2859,0
196,3472,3452,2862,0
